"Lenovo IdeaPad S340 10th Gen Intel Core i3/ 14 inch Full HD IPS Thin and Light Laptop (8 GB/256 GB SSD/Windows 10/MS Office 2019/Platinum Grey/1.6 Kg), 81VV00JFIN",801,575,226,none,/lenovo-ideapad-s340-10th-gen-intel-core-i3-14-inch-full-hd-ips-thin-and-light-laptop-8-gb-256-gb-ssd-windows-10-ms-office-2019-platinum-grey-1-6-kg-81vv00jfin-CMPLXLAPLENOVO-IDEAPUNBO867328BCA95976-pdp?product_id=333294515&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C1%7C%7C%7C%7C&get_review_id=333294517
Dell Inspiron 15 3593 15.6-inch FHD Laptop (10th Gen Core i3/8GB/1TB HDD + 256SSD/Windows 10 + MS Office/Intel HD Graphics/Silver),670,658,12,none,/dell-inspiron-15-3593-15-6-inch-fhd-laptop-10th-gen-core-i3-8gb-1tb-hdd-+-256ssd-windows-10-+-ms-office-intel-hd-graphics-silver-CMPLXLAPDELL-INSPIRODUMM20256C35748B6-pdp?product_id=333070710&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C2%7C%7C%7C%7C&get_review_id=330457809
HP 245 G7 Laptop 2D5Y6PA (AMD Ryzen 5-3500U/4GB Ram/ 1TB HDD/ 14.0 inch HD /DOS/AMD Radeon Vega 8 Graphics/ Dark Ash Silver/1.52Kg),507,491,16,none,/hp-245-g7-laptop-2d5y6pa-amd-ryzen-5-3500u-4gb-ram-1tb-hdd-14-0-inch-hd-windows-10-amd-radeon-vega-8-graphics-dark-ash-silver-1-52kg-CMPLXLAPHP-245-G7-LADUMM20256FB790299-pdp?product_id=337897348&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C3%7C%7C%7C%7C&get_review_id=332593887
"Microsoft Surface Laptop 3 (Intel Core i5/ 8 GB/ 128 GB SSD/ 34.29 cm (13.5 inch)/ Windows 10) 1867 (Platinum , 1.26 kg)",1438,1384,54,none,/microsoft-surface-laptop-3-intel-core-i5-8-gb-128-gb-ssd-34-29-cm-13-5-inch-windows-10-1867-platinum-1-26-kg-CMPLXLAPMICROSOFT-SUSUPE46222B0A06212-pdp?product_id=333472494&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C4%7C%7C%7C%7C&get_review_id=330483992
Mi Notebook Horizon Edition 14 Intel Core i7-10510U 10th Gen Thin and Light Laptop(8GB/512GB SSD/Windows 10/Nvidia MX350 2GB Graphics/Grey/1.35Kg) XMA1904-AF+Webcam,904,863,41,none,/mi-notebook-horizon-edition-14-intel-core-i5-10510u-10th-gen-thin-and-light-laptop-8gb-512gb-ssd-windows-10-nvidia-mx350-2gb-graphics-grey-1-35kg-xma1904-af+webcam-CMPLXLAPMI-NOTEBOOK-DUMM20256DFD12B9D-pdp?product_id=333550928&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C5%7C%7C%7C%7C&get_review_id=333550929
"Asus Vivobook X509JA-BQ839T Intel Core i5 10th Gen 8 GB 1 TB 39.62 cm (15.6 inch) Silver, 1.8 kg",753,644,109,none,/asus-vivobook-x509ja-bq839t-intel-core-i5-10th-gen-8-gb-1-tb-39-62-cm-15-6-inch-silver-1-8-kg-CMPLXLAPASUS-VIVOBOODUMM20256EBE7A814-pdp?product_id=333937887&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C6%7C%7C%7C%7C&get_review_id=332412129
"Acer Aspire 3 A315-57G Thin and Light Laptop (Intel Core i5-10th Gen/8 GB RAM/1 TB HDD/39.62 cm (15.6 inch)/FHD/Windows 10 Home/NVIDIA GeForce MX330 Graphics) NX.HZRSI.001 (Charcoal Black, 1.9 kg)",849,726,123,none,/acer-aspire-3-a315-57g-thin-and-light-laptop-intel-core-i5-10th-gen-8-gb-ram-1-tb-hdd-39-62-cm-15-6-inch-fhd-windows-10-home-nvidia-geforce-mx330-graphics-nx-hzrsi-001-charcoal-black-1-9-kg-CMPLXLAPACER-ASPIRE-DUMM20256A47FB90-pdp?product_id=334005544&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C7%7C%7C%7C%7C&get_review_id=334005545
Lenovo Ideapad S145  (AMD Ryzen 5-3500U/8GB /1TB HDD/15.6 inch Full HD/Win 10/MS Office 2019/Integrated AMD Radeon Vega 8 Graphics/Platinum Grey/1.85Kg)  81UT00JBIN,890,586,304,none,/lenovo-ideapad-s145-amd-ryzen-5-3500u-8gb-1tb-hdd-15-6-inch-full-hd-win-10-ms-office-2019-integrated-amd-radeon-vega-8-graphics-platinum-grey-1-85kg-81ut00jbin-CMPLXLAPLENOVO-IDEAPLOWE541476DA3FECC3-pdp?product_id=337328493&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C8%7C%7C%7C%7C&get_review_id=332588620
"HP Pavilion x360 14-dh1180tu (Intel Core i7-10510U(10th Gen)/8 GB RAM/512 GB SSD/35.56 cm (14 inch)/Windows 10 Home/Intel UHD Graphics) (Mineral Silver, 1.58 kg)",1281,1151,130,none,/hp-pavilion-x360-14-dh1180tu-intel-core-i7-10510u-10th-gen-8-gb-ram-512-gb-ssd-35-56-cm-14-inch-windows-10-home-intel-uhd-graphics-mineral-silver-1-58-kg-CMPLXLAPHP-PAVILION-GREE3950879F1DCF38-pdp?product_id=333164041&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C9%7C%7C%7C%7C&get_review_id=332078038
"Dell Inspiron 15 3593 15.6-inch FHD Laptop (10th Gen Core i3/8GB/1TB HDD/Windows 10 + MS Office 2019/Intel HD Graphics)(Black, 2.02 Kg)",644,600,44,none,/dell-inspiron-15-3593-15-6-inch-fhd-laptop-10th-gen-core-i3-8gb-1tb-hdd-windows-10-+-ms-office-2019-intel-hd-graphics-black-2-02-kg-CMPLXLAPDELL-INSPIRODUMM2025612075D5F-pdp?product_id=333157301&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C10%7C%7C%7C%7C&get_review_id=330930086
"Asus ROG Zephyrus G14 (AMD Ryzen 9/16 GB RAM/1 TB SSD/35.56 cm (14 inch)/Windows 10) GA401IV-HA181TS (Eclipse Grey with AniMe Matrix , 1.7 kg)",2671,1959,712,none,/asus-rog-zephyrus-g14-amd-ryzen-9-16-gb-ram-1-tb-ssd-35-56-cm-14-inch-windows-10-ga401iv-ha181ts-eclipse-grey-with-anime-matrix-1-7-kg-CMPLXLAPASUS-ROG-ZEPASUS20915DE5CF63A-pdp?product_id=332466707&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C11%7C%7C%7C%7C&get_review_id=332466715
Microsoft Surface Pro 7   31.24 cm (12.3 inch) Touch-Screen - Intel Core i5 - 8GB Memory - 128GB Solid State Drive (Latest Model)   Platinum Without Keyboard,1288,1068,220,none,/microsoft-surface-pro-7-31-24-cm-12-3-inch-touch-screen-intel-core-i5-8gb-memory-128gb-solid-state-drive-latest-model-platinum-without-keyboard-CMPLXLAPMICROSOFT-SUSUPE4622243DBEE10-pdp?product_id=317295030&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C12%7C%7C%7C%7C&get_review_id=317295032
Lenovo IdeaPad Slim 5i 11th Gen Intel Core i5 15.6-inch Full HD IPS Thin and Light Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/MS Office 2019/Integrated Intel(Graphite Grey/1.66Kg) 82FG00BQIN,1264,822,442,none,/lenovo-ideapad-slim-5i-11th-gen-intel-core-i5-15-6-inch-full-hd-ips-thin-and-light-laptop-8gb-1tb-hdd-+-256gb-ssd-windows-10-ms-office-2019-integrated-intel-graphite-grey-1-66kg-82fg00bqin-CMPLXLAPLENOVO-IDEAPLOWE5414763B734456-pdp?product_id=333942637&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C13%7C%7C%7C%7C&get_review_id=333942639
"HP Pavilion x360 14-dh1178tu (Intel Core i3-10110U(10th Gen)/8 GB RAM/512 GB SSD/35.56 cm (14 inch)/Windows 10 Home/Intel UHD Graphics) (Mineral Silver, 1.58 kg)",863,740,123,none,/hp-pavilion-x360-14-dh1178tu-intel-core-i3-10110u-10th-gen-8-gb-ram-512-gb-ssd-35-56-cm-14-inch-windows-10-home-intel-uhd-graphics-mineral-silver-1-58-kg-CMPLXLAPHP-PAVILION-DUMM202564D36AB88-pdp?product_id=332188095&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C14%7C%7C%7C%7C&get_review_id=332078041
"Dell Latitude 3410 10th Gen Intel Core i3- 10110U (4 GB DDR4 RAM, 1TB HDD, 35.56 cm (14 inch) HD (1366 x 768)  Anti-Glare, Ubuntu, N001I3410001IN9 (Black, 1.61 kg))",815,493,322,none,/dell-latitude-3410-10th-gen-intel-core-i3-10110u-4-gb-ddr4-ram-1tb-hdd-35-56-cm-14-inch-hd-1366-x-768-anti-glare-ubuntu-n001i3410001in9-black-1-61-kg-CMPLXLAPDELL-LATITUDDUMM20256C17461D1-pdp?product_id=333194548&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C15%7C%7C%7C%7C&get_review_id=332494897
"Asus M515DA-EJ001T Laptop (AMD Athlon Silver 3050U @2.3GHz / 4GB Ram/ 1TB HDD/ 15.6"" FHD/ Windows 10 Home/ Fingerprint/ Grey/ 1.9 Kg/ No ODD) Without Optical Drive",452,370,82,none,/asus-m515da-ej001t-laptop-amd-athlon-silver-3050u-2-3ghz-4gb-ram-1tb-hdd-15-6-fhd-windows-10-home-fingerprint-grey-1-9-kg-no-odd-without-optical-drive-CMPLXLAPASUS-M515DA-DUMM20256A061D940-pdp?product_id=337221805&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C16%7C%7C%7C%7C&get_review_id=334016898
"HP 1 5 Ryzen 3 7th Gen -( AMD Ryzen 4GB RAM / 1TB HDD / Windows 10 ) 15-db1069AU (39.62 cm (15.6 inch),Black,1.7)",486,440,46,none,/hp-1-5-ryzen-3-7th-gen-amd-ryzen-4gb-ram-1tb-hdd-windows-10-15-db1069au-39-62-cm-15-6-inch-black-1-7-CMPLXLAPHP-1-5-RYZENK-RE724635F5A92F3F-pdp?product_id=312305485&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C17%7C%7C%7C%7C&get_review_id=312305487
Lenovo ThinkPad E14 Intel Core i3 10th Gen 14-inch Full HD Thin and Light Laptop (4GB RAM/ 1TB HDD/ DOS/ Black/ 1.77 kg)  20RAS0D800,562,529,33,none,/lenovo-thinkpad-e14-intel-core-i3-10th-gen-14-inch-full-hd-thin-and-light-laptop-4gb-ram-1tb-hdd-dos-black-1-77-kg-20ras0d800-CMPLXLAPLENOVO-THINKE-TE22231BE8D0E79-pdp?product_id=330723675&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C18%7C%7C%7C%7C&get_review_id=330446137
"DELL Inspiron 3593 (Intel Core i5-1035G1(10th Gen)/8 GB/1 TB HDD + 256 GB SSD/39.62 cm (15.6 inch)/Windows 10/2 GB NVIDIA MX 230 Graphics) (Platinum Silver, 2.2 kg)",1096,916,180,none,/dell-inspiron-3593-15-6-inch-laptop-10th-gen-ci5-1035g1-8gb-1tb-hdd-+-256gb-ssd-windows-10-2gb-nvidia-mx-230-graphics-platinum-silver-CMPLXLAPDELL-INSPIRODUMM20256941F8DA9-pdp?product_id=332976120&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C19%7C%7C%7C%7C&get_review_id=330457815
HP Envy x360 (AMD Ryzen 5- 3rd Gen /8 GB RAM /512 GB SSD /33.78 cm (13.3 inch) /Windows 10) 13-ay0045AU (Night Fall Black   1.32 kg),1255,1014,241,none,/hp-envy-x360-amd-ryzen-5-3rd-gen-8-gb-ram-512-gb-ssd-33-78-cm-13-3-inch-windows-10-13-ay0045au-night-fall-black-1-32-kg-CMPLXLAPHP-ENVY-X360DUMM2025663ACCE7F-pdp?product_id=333243371&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C20%7C%7C%7C%7C&get_review_id=333243372
"Lenovo V15 (AMD Ryzen 3- 3rd Gen/ 4 GB RAM/ 1 TB HDD/ 39.62 cm (15.6 inch) / DOS) 82C70016IH (Iron Grey, 1.85 kg)",469,384,85,none,/lenovo-v15-amd-ryzen-3-3rd-gen-4-gb-ram-1-tb-hdd-39-62-cm-15-6-inch-dos-82c70016ih-iron-grey-1-85-kg-CMPLXLAPLENOVO-V15-AMY-S29032C064FA85-pdp?product_id=334228395&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C21%7C%7C%7C%7C&get_review_id=331060535
"Dell Inspiron Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop  (15.6 inch, Softmint, 1.83 kg, With MS Office)",587,548,39,none,/dell-inspiron-core-i3-10th-gen-4-gb-1-tb-hdd-windows-10-home-inspiron-3501-laptop-15-6-inch-softmint-1-83-kg-with-ms-office-CMPLXLAPDELL-INSPIROBEST41443447464F6-pdp?product_id=333616794&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C22%7C%7C%7C%7C&get_review_id=333157915
"HP Pavilion 14 (Intel Core i5- 10th Gen/8 GB RAM/ 1 TB HDD + 256 GB SSD/35.56 cm (14 inch)/Windows 10) CE3065TU (Mineral Silver ,1.7 kg)",952,890,62,none,/hp-pavilion-14-intel-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-35-56-cm-14-inch-windows-10-home-ms-office-14-ce3065tu-thin-and-light-laptop-mineral-silver-1-7-kg-CMPLXLAPHP-PAVILION-GADG48687B1661382-pdp?product_id=336904399&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C23%7C%7C%7C%7C&get_review_id=332188113
"Lenovo V15-IIL Laptop (Core i3 10th Gen / 4 GB/15.6 inch/1 TB HDD/Windows 10 Home) 82C5A00AIH (Grey, 2.2 kg)",519,488,31,none,/lenovo-v15-iil-laptop-core-i3-10th-gen-4-gb-15-6-inch-1-tb-hdd-windows-10-home-82c5a00aih-grey-2-2-kg-CMPLXLAPLENOVO-V15-IGMCS31729993F74D3F-pdp?product_id=336633282&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C24%7C%7C%7C%7C&get_review_id=333414838
Dell Inspiron 3493 14-inch HD Laptop (10th Gen Intel Core i3-1005G1/4GB/1TB HDD/Win 10 + MS Office/Intel HD Graphics/Silver) D560193WIN9SE,536,534,2,none,/dell-inspiron-3493-14-inch-hd-laptop-10th-gen-intel-core-i3-1005g1-4gb-1tb-hdd-win-10-+-ms-office-intel-hd-graphics-silver-d560193win9se-CMPLXLAPDELL-INSPIROLOWE54147639389ACD-pdp?product_id=332625217&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C25%7C%7C%7C%7C&get_review_id=332407968
"HP 15s-GY0003AU Laptop (AMD Athlon Silver 3020e @1.2GHz/ 4GB Ram/ 1TB HDD/ 15.6"" HD/ Windows 10 Home / Jet Black / 1.8Kgs / No ODD) Without Optical Drive",479,404,75,none,/hp-15s-gy0003au-laptop-amd-athlon-silver-3020e-1-2ghz-4-gb-ram-1-tb-hdd-39-62-cm-15-6-inch-hd-1366-x-768-pixel-windows-10-home-without-optical-drive-jet-black-1-8-kg-CMPLXLAPHP-15S-GY000DUMM20256CC47C66D-pdp?product_id=336302742&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C26%7C%7C%7C%7C&get_review_id=334441237
"Lenovo IdeaPad S340 Thin and Light Laptop (Intel Core i3-10th Gen/8 GB/1 TB HDD/Windows 10/14 inch Full HD IPS/MS Office 2019) 81VV00HEIN (Onyx Black, 1.6 kg)",849,630,219,none,/lenovo-ideapad-s340-thin-and-light-laptop-intel-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-14-inch-full-hd-ips-ms-office-2019-81vv00hein-onyx-black-1-6-kg-CMPLXLAPLENOVO-IDEAPDUMM2025695546C7F-pdp?product_id=337328509&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C27%7C%7C%7C%7C&get_review_id=331819053
"HP 250 G7 (Intel Core i3-10th Gen/4 GB RAM/512 GB SSD/39.62 cm (15.6 inch)/Windows 10/With Fast Charging) 22A67PA (Dark Ash Silver, 1.78 kg)",630,603,27,none,/hp-250-g7-intel-core-i5-10th-gen-4-gb-ram-512-gb-ssd-39-62-cm-15-6-inch-windows-10-with-fast-charging-22a67pa-dark-ash-silver-1-78-kg-CMPLXLAPHP-250-G7-INLOWE541476F48765FE-pdp?product_id=332117686&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C28%7C%7C%7C%7C&get_review_id=330911160
"HP 14 (Intel Core i5- 10th Gen /8 GB RAM /512 GB SSD /35.56 cm (14 inch) /Windows 10) 14-ck2018tu (Jet Black , 1.5 kg)",853,838,15,none,/hp-14-intel-core-i5-10th-gen-8-gb-ram-512-gb-ssd-35-56-cm-14-inch-windows-10-14-ck2018tu-jet-black-1-5-kg-CMPLXLAPHP-14-INTEL-GREE395087F5339C8E-pdp?product_id=336302128&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C29%7C%7C%7C%7C&get_review_id=333243362
HP 245 G7 Laptop 2D8C6PA (AMD Ryzen 3-3300U/4GB Ram/ 1TB HDD/ 14.0 inch HD /Windows-10/AMD Radeon Vega 6 Graphics/ Dark Ash Silver/1.52Kg),478,444,34,none,/hp-245g7-2d8c6pa-laptop-amd-rhyzen-3-330u-2-1ghz-4gb-ram-1tb-hdd-14-hd-screen-windows-10-home-sl-integrated-standard-amd-radeon-vega-6-graphics-1-6kgs-no-odd-without-optical-drive-CMPLXLAPHP-245G7-2D8DUMM20256DD73CF3E-pdp?product_id=333218147&src=consumer_search-grid&svc=-1&tracker=%7C%7C%7C%7C%2Fg%2Felectronics%2Flaptop-computers%2Flaptops-glpid-6453%7C6453%7C30%7C%7C%7C%7C&get_review_id=333259017
